参者,1.0
东野,0.6624394596880977
书籍,0.5411597501200217
加贺,0.5237100968692824
案件,0.39699386108840523
故事,0.33204749432380126
过程,0.30777749202375226
圭吾,0.3063533849230676
人形,0.29300465536843145
作品,0.2355911269233411
人心,0.2255329920093161
人性,0.221714034663366
推理,0.2071541372478838
觉得,0.20298778712098015
经历,0.18585529618012495
结局,0.1839623962560375
好看,0.18212119128541882
喜欢,0.1767032716105638
解忧,0.17541421890775913
破案,0.17161577896350713
0.596747
0.885742
0.890436
0.912422
0.460096
0.953586
0.525933
0.736359
0.350254
0.462885
0.746922
0.596825
0.988541
0.981623
0.939277
0.263009
0.63186
0.384185
0.436344
0.86594
0.85203
0.738315
0.547419
0.49236
0.393444
0.889795
0.53427
0.609961
0.642472
0.99192
0.59969
0.985915
0.964351
0.569588
0.264275
0.849311
0.489405
0.98152
0.57839
0.955744
0.539519
0.749852
0.523065
0.424742
0.749852
0.539519
0.633973
0.880049
0.492489
0.501954
0.501954
0.8723
0.8723
