游戏,1.0
禁忌,0.6718201120087762
书籍,0.6091438667226236
作者,0.22751489400036312
空间,0.21987185049703661
强有力,0.18860145477200727
人物,0.17752069535005763
青春,0.16952568467707324
欲望,0.16844459789218175
话剧,0.16185131606294673
故事,0.16147427018852148
漫画,0.15800220496037662
理想主义,0.15560802582480193
知道,0.14995237889193383
想法,0.14438955089182362
喜欢,0.1412383573222643
不错,0.1379652239929599
震撼,0.1338605398072237
起来,0.13258112115870058
思考,0.13258112115870052
0.544272
0.544272
0.681523
0.674465
0.783983
0.736259
0.823001
0.488168
0.91651
0.773775
0.961106
0.430411
0.747875
0.465536
0.776847
0.0323337
0.471757
0.369984
0.29716
0.99373
0.886125
0.75963
0.802578
0.820249
0.577828
0.743439
0.0320612
0.710297
0.29716
0.886125
0.267829
0.568265
0.66988
0.816862
0.971606
0.766465
0.878058
0.64916
0.971606
0.461523
0.622532
0.676264
0.43254
0.00252317
0.0578037
0.632028
0.703381
0.954943
0.871433
0.29716
0.886125
0.616607
0.108472
0.126806
0.340137
0.546233
0.974881
0.0713412
0.426536
0.886125
0.309073
0.865056
