麒麟,1.0
有点,0.8552478514276991
加贺,0.7796399618992982
故事,0.7152653580035522
书籍,0.6938794172715215
推理,0.6810545723042897
作者,0.6140753669263596
小说,0.5323099748448504
料理,0.48257415157936956
过于,0.46539910158873715
没有,0.4646931280400496
喜欢,0.4208775883453835
父亲,0.42056443514609754
感觉,0.4160742082759878
人物,0.4155789216126504
亲情,0.40348829562314603
看完,0.39625334059472483
还有,0.3835152674196861
应该,0.3808337676724413
警察,0.3749172572888101
0.400646
0.400605
0.864041
0.571895
0.822463
0.753398
0.947872
0.987432
0.724947
0.559195
0.504748
0.402282
0.111992
0.959119
0.196873
0.570076
0.610125
0.64607
0.837423
0.630559
0.734378
0.949936
0.527131
0.72307
0.958403
0.768551
0.813845
0.419852
0.883697
0.786125
0.656572
0.659527
0.635994
0.847933
0.556488
0.121184
0.120466
0.504446
0.0317795
0.577047
0.747324
0.874802
0.638407
0.592648
0.989438
0.978241
0.232659
0.767775
0.261969
0.628237
0.934248
0.0555526
0.150037
0.0668934
0.566991
0.552442
0.111621
0.452517
0.961465
0.965612
0.991167
0.616043
0.836391
0.774164
0.881458
0.969367
0.862917
0.780453
0.83581
0.538162
0.35102
0.332364
0.829377
0.566991
0.0677414
0.637461
0.164556
0.717397
0.513727
0.416851
0.230372
0.194353
0.212675
0.904728
0.981005
0.904957
0.359022
0.742294
0.993534
0.467129
0.827371
0.891247
0.546596
0.587014
0.601501
0.527476
0.534272
0.647032
0.706831
0.570333
0.756753
0.756753
