恶意,1.0
书籍,0.46036483683011564
动机,0.27917871447380854
人性,0.2446242213471749
东野,0.23370336711755835
知道,0.21038909130288394
嫉妒,0.17290745427617069
人物,0.171720910350963
读者,0.1652539446645017
开始,0.1562484074298053
没有,0.14233591500040757
小说,0.1404564077176357
不够,0.13942984529393682
成功,0.13476423912870614
有点,0.1319353687460135
好像,0.13155856317674738
作品,0.12866260634041182
实在,0.1275192827357099
圭吾,0.12739893264408883
觉得,0.12532020101811384
0.736126
0.423238
0.949695
0.354743
0.369243
0.0492122
0.633843
0.126564
0.713089
0.392409
0.10686
0.0148607
0.217952
0.3592
1
0.0299677
0.542055
0.812022
0.888698
0.133177
0.454602
0.10686
0.617571
0.764867
0.924033
0.291608
0.223385
0.650126
0.204964
0.463587
0.501584
0.640244
0.767582
0.236354
0.47966
0.470328
0.0826514
0.450931
0.605363
0.181676
0.418207
0.516603
0.80099
0.482258
0.812663
0.69909
0.761138
0.689474
0.352123
0.190332
0.69909
0.386609
0.880694
0.978118
0.486228
0.51754
0.66016
0.945956
0.880694
0.582626
0.819623
0.585723
