圣女,1.0
救济,0.9478843709499706
东野,0.4600478501305521
小说,0.4234146388412545
书籍,0.41174646011971133
凶手,0.39583278629945917
故事,0.37639552713785646
还有,0.3212177251071531
手法,0.28963935153345516
知道,0.2784602310851169
不错,0.2781215844425974
绫音,0.27309524839211824
没有,0.25499865208795847
过程,0.2463103265426959
丈夫,0.24598386751476348
结局,0.23500367774145917
学习,0.2261598900060849
推理,0.2200700828742245
想要,0.21975399407155904
猪饲料,0.21908568954933483
0.479594
0.850848
0.731921
0.275581
0.649725
0.9298
0.316433
0.232952
0.216607
0.367486
0.61279
0.213097
0.369569
0.418251
0.433498
0.646806
0.993897
0.890874
0.194835
0.307865
0.920169
0.811191
0.0253985
0.605166
0.217382
0.0284113
0.914662
0.672206
0.413618
0.279755
0.950024
0.804107
0.705058
0.541525
0.408142
0.537278
0.197435
0.0858416
0.763333
0.803822
0.117859
0.434934
0.566344
0.528553
0.348725
0.631971
0.58242
0.58242
0.631971
0.348725
0.566344
0.528553
0.578871
0.578871
0.00815065
0.725128
0.133885
0.864826
0.0189959
0.473868
0.440511
0.584513
0.155173
0.0764704
