侦探,1.0
俱乐部,0.9229219957782047
书籍,0.6211943264754071
推理,0.3397288209666082
东野,0.2512342102352743
没有,0.23760140918672829
老婆,0.2139599700698304
作品,0.21319885526960713
故事,0.2086738449315935
时间,0.20810960441510015
不错,0.19942515434069313
外甥,0.19639479559113823
糟糕,0.18402646213397633
简单,0.17091690820831817
时候,0.1552131363787811
逆转,0.1535932905936872
出奇,0.1520012988539003
总会,0.1493451502505626
舅妈,0.1475535208171797
开始,0.14211250786367047
0.859924
0.962014
0.632206
0.453671
0.759706
0.583065
0.542912
0.715115
0.345666
0.92018
0.714942
0.415982
0.733858
0.609032
0.511768
0.85578
0.0530982
0.258655
0.632892
0.124281
1
1
0.419495
0.829259
0.664491
0.657259
0.686012
0.169193
0.585471
0.707945
0.270648
0.389505
0.439301
0.137416
0.563144
0.563144
0.137416
0.439301
0.769482
0.769482
