科学,1.0
感觉,0.9406576787321865
物理,0.9197220400969047
故事,0.7966506511271229
推理,0.722242943885019
东野,0.6473810968497119
作品,0.5486141422768418
有点,0.5426106107185935
诡计,0.43902193487728247
形象,0.42856509434685947
东西,0.4055831128062788
伟大,0.4013169209576466
科學,0.3901623585599396
小说,0.37925325130053084
破案,0.3695827366648736
真理,0.36869964317470916
平淡,0.36626034165592514
内海,0.35196439855689654
电视剧,0.3502018324378589
可能,0.34588875575950445
0.926939
0.632836
0.0072858
0.341255
0.807739
0.485959
0.63827
0.462312
0.508225
0.81842
0.724466
0.552701
0.615027
0.404015
0.436382
0.467471
0.552701
0.178791
0.971954
0.3788
0.206331
0.460736
0.202823
0.488004
0.412313
0.677054
0.265474
0.26383
0.686814
0.309055
0.309055
0.507831
0.423355
0.0835379
0.699045
0.524104
0.749529
0.614018
0.0504327
0.109456
0.18265
0.148137
0.512685
0.246897
0.523666
0.656964
0.541316
0.0837123
0.552525
0.643996
0.530704
0.0369905
0.412444
0.412444
0.530653
0.334062
0.25939
0.507299
0.92015
0.884383
0.590754
0.902651
0.543542
0.516077
0.159465
0.818459
0.567779
0.535253
0.561718
0.535342
0.736973
0.49143
0.909005
0.644174
0.69759
0.303835
0.0799694
0.057236
0.626998
0.235038
0.718984
0.334245
0.822901
0.497513
0.718566
0.178686
0.538561
0.0101748
0.161202
0.526979
0.0660904
0.964537
0.596843
0.76758
0.330503
