凶手,1.0
东野,0.6292636010885245
没有,0.6224597207802571
结局,0.6122570824031838
推理,0.5913960721961835
作者,0.5765072583413033
小说,0.4346866302088009
有点,0.4315763320131843
觉得,0.4080456150538895
加贺,0.3827508220860026
看到,0.3610414623429274
激情,0.32992541860144203
故事,0.3050483637182465
印象,0.3023959547053682
知道,0.3022003256829991
爱情,0.29901467590821196
圭吾,0.29102852729866246
妹妹,0.2845845387249155
闺蜜,0.2784859641639594
出场,0.27612193594859
0.735391
0.154376
0.638596
0.11494
0.0928744
0.31551
0.164826
0.161703
0.908555
0.0570223
0.127384
0.361317
0.198541
0.0680652
0.586518
0.593216
0.0474626
0.76736
0.347796
0.914388
0.914388
0.378716
0.702108
0.0680225
0.164032
0.842118
0.537426
0.523984
0.90382
0.267968
0.266458
0.406843
0.511087
0.580892
0.126332
0.777178
0.674515
0.43514
0.878656
0.254435
0.553156
0.47928
0.33089
0.745292
0.444232
0.868543
0.461621
0.619805
0.573156
0.717539
0.0688271
0.606225
0.156792
0.985958
0.557571
0.933042
0.892925
0.94806
0.936844
0.0757883
0.491375
0.610523
0.994025
0.146633
0.146633
0.994025
0.962827
0.962827
0.29748
0.66061
0.760088
0.760088
0.29748
0.66061
0.466413
0.466413
0.843557
0.843557
0.743666
0.454476
0.028688
0.399876
0.138064
0.399876
0.454476
0.701383
0.028688
0.138064
