献身,1.0
嫌疑犯,0.9428918532430883
石神,0.7355835006178533
数学,0.6612701544111114
爱情,0.4179569646260446
时候,0.4101534617031417
看到,0.40932996744409145
书籍,0.39797458301780847
东野,0.3951562935115391
幸福,0.3403003502551487
简单,0.33090137204912784
没有,0.32067280913407314
结局,0.30894235142514653
开始,0.28067475899329253
天才,0.27631981525277166
圭吾,0.26026313738819823
电影,0.24396426930926257
日本,0.2393958686769953
无法,0.23560482501373592
喜欢,0.22235070388459896
0.790503
0.934638
0.374864
0.032664
0.627084
0.307589
0.716417
0.715995
0.868488
0.349366
0.70013
0.717115
0.26453
0.0991637
0.317759
0.423993
0.5716
0.302897
0.811239
0.595149
0.196338
0.282922
0.45554
0.508339
0.892046
0.88403
0.5531
0.928638
0.486042
0.532277
0.946637
0.481113
0.521262
0.438664
0.331077
0.964845
0.678542
0.468741
0.963162
0.554971
0.600219
0.728835
0.0962626
0.142477
0.604543
0.808405
0.869249
0.600989
0.437722
0.476888
0.189546
0.870698
0.440309
0.104871
0.47842
0.230105
0.539196
0.546774
0.768461
0.211817
0.592068
0.0107526
0.383189
0.12187
0.447595
0.761514
0.636701
0.538103
0.848003
0.965804
0.947455
0.659303
0.688432
0.427002
0.923742
0.538444
0.778967
0.964668
0.143064
0.295253
1
0.276178
0.963814
0.927935
