手指,1.0
加贺,0.7206350932351032
儿子,0.6568440438963143
社会,0.6528538757123423
书籍,0.6172575049333527
家庭,0.6132021222255781
推理,0.6093037755062681
母亲,0.5752230221631964
类型,0.5167457013398772
父母,0.49107337344766505
东野,0.4749495070723273
需要,0.4496499613813023
父亲,0.4235749523897368
妻子,0.41437355088791167
人性,0.40555206163529894
亲情,0.4018154324008193
问题,0.37704907069048316
面对,0.365719477344255
前原,0.3520612467401897
母子,0.3276967289286008
0.570411
0.229078
0.973387
0.371875
0.0259345
0.163391
0.301889
0.0607952
0.813693
0.672316
0.822516
0.0356894
0.500462
0.311363
0.0550544
0.766102
0.442898
0.654475
0.0414033
0.500462
0.105174
0.992984
0.18735
0.229556
0.267502
0.913283
0.522461
0.562786
0.336554
0.0177514
0.407479
