毕业,1.0
游戏,0.9337063974749226
杀人,0.6952337431916755
书籍,0.27398698263812954
东野,0.2216991214115117
不错,0.21396896849212874
复杂,0.20772328042029078
圭吾,0.19471262735687392
作品,0.18729421412632075
有点,0.1842871972779047
案例,0.1810830895307424
加贺,0.17822303162844766
不同,0.1660973583307513
感觉,0.16537652049962878
茶道,0.15736324533220072
年龄段,0.15454196531814401
手法,0.14950652826222394
侦探,0.14706998652089698
经验,0.1444239888238215
登场,0.1431697795066374
0.538673
0.143748
0.801384
0.836807
0.307365
0.573738
0.837958
0.187919
0.769305
0.345035
0.598702
0.326739
0.172475
0.438613
0.794765
0.834911
0.24159
0.576861
0.33742
0.515412
0.337547
0.316475
0.61392
0.236136
0.926232
0.579991
0.850813
0.755606
0.755606
0.641348
0.641348
0.476063
0.888677
0.698212
0.574458
0.358019
0.574458
0.476063
0.698212
0.888677
0.358019
0.415016
0.415016
