加贺,1.0
森林,0.8948928129276721
沉睡,0.8708771080593217
孩子,0.57163011917766
故事,0.44359110487166364
书籍,0.3802483734919369
角田,0.3427807940627893
芭蕾舞,0.3263174130501125
画风,0.297599458396762
喜欢,0.29271077156306413
推理,0.2853096955440126
光代,0.28364760539245054
女主,0.2802053153126223
悬疑,0.2714499595114994
情节,0.2517585367933356
社会,0.24293557960097686
觉得,0.21725722678725276
没有,0.21673053160703346
妈妈,0.21621722347156946
心理,0.21315143262276037
0.513961
0.545506
0.0633075
0.964734
0.353714
0.742678
0.778217
0.532389
0.96445
0.910489
0.722177
0.182667
0.566231
0.814866
0.303065
0.756617
0.630169
0.713935
0.874197
0.0081756
0.437063
0.758031
0.758031
0.437063
0.045159
0.418079
0.224376
0.318694
0.389988
0.708545
0.536959
0.628445
0.25788
0.13542
0.977989
0.879836
0.796904
0.859661
0.715117
0.447998
0.859661
0.796904
0.715117
0.879836
