"(0, -0.039380859707510409)","(1, 0.043013301023346343)","(2, 0.020343287888431937)"
"(0, -0.46955760887922593)","(1, 0.00087419462650484086)","(2, -0.02403460657231794)"
"(0, -0.3925440132693524)","(1, -0.0067811270050796143)","(2, -0.021880726718955024)"
"(0, -0.24147445424900238)","(1, -0.00098823994953148352)","(2, -0.00033512723301724456)"
"(0, -0.28804606349810002)","(1, 0.0030446901365101609)","(2, -0.015182879238868595)"
"(0, -0.64921791643625515)","(1, -0.01645113335926917)","(2, -0.027334762696314255)"
"(0, -0.39704775996118935)","(1, -0.011170315465303053)","(2, -0.01388676252841938)"
"(0, -0.0080936081407427633)","(1, 0.037839932132555792)","(2, 0.0076035416573994119)"
"(0, -0.0055109645469387479)","(1, 0.028598385412098772)","(2, 0.0062765998019707493)"
"(0, -0.024715007224069198)","(1, 0.55236266328382622)","(2, -0.033001134898615919)"
"(0, -0.0058140805337097796)","(1, 0.0088475387844008761)","(2, 0.0062309135055122027)"
"(0, -0.36667937250253346)","(1, -0.0035357241198665443)","(2, -0.056484382451924595)"
"(0, -0.034453847652167836)","(1, 0.056387307129785513)","(2, 0.98271688958255632)"
"(0, -0.010729895595958159)","(1, 0.04506459475277947)","(2, 0.0459989117633475)"
"(0, -0.015024782008207853)","(1, 0.59496717667506904)","(2, -0.04457917901967736)"
"(0, -0.017189910819080226)","(1, 0.037845315308701978)","(2, 0.025487626550375991)"
"(0, -0.4784862087680849)","(1, -0.014821924764605263)","(2, -0.017928745187600698)"
"(0, -0.29858539751960306)","(1, -0.0026967646237179097)","(2, -0.011777972622417905)"
"(0, -0.33201319359581233)","(1, -0.010093660180505663)","(2, -0.01571987353419713)"
"(0, -0.44311286080509382)","(1, -0.0064702735213250989)","(2, -0.01668088281461047)"
"(0, -0.1054710985483792)","(1, 0.0051960460032747296)","(2, -0.001277276942095188)"
"(0, -0.29764886952335562)","(1, -0.0076415363784447235)","(2, -0.014059577027871121)"
"(0, -0.49321052873707261)","(1, -0.013642497562970193)","(2, -0.013030899309681982)"
"(0, -0.28794992194577845)","(1, -0.0033717238598268699)","(2, -0.0026058674318689863)"
"(0, -0.013701023942891697)","(1, 0.042093709256550191)","(2, 0.026288884274418348)"
"(0, -0.01156335591158735)","(1, 0.022957292686701429)","(2, 0.024007715986726214)"
"(0, -0.021190429208623181)","(1, 0.61098654022758847)","(2, -0.040533689887847259)"
"(0, -0.019600190641274922)","(1, 0.051714345233761047)","(2, 0.047839965592054785)"
"(0, -0.0078919297609912949)","(1, 0.030659871018310664)","(2, 0.012497563623045164)"
"(0, -0.011108984049687517)","(1, 0.015866673107214822)","(2, 0.01579026462277892)"
"(0, -0.080891171950421184)","(1, 0.012659069850517736)","(2, -0.0054901615274055432)"
"(0, -0.013648319133344328)","(1, 0.01417340393175508)","(2, 0.016789050557952719)"
"(0, -0.03460152658307792)","(1, 0.025363532390360388)","(2, 0.008180940762439002)"
