0,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
37,"(0, 0.027478386)","(1, 0.0068711629)","(2, 0.014868656)","(3, 0.025149882)","(4, 0.013416965)","(5, 0.0016070218)","(6, 0.015882716)","(7, 0.016986888)","(8, 0.025366239)","(9, 0.013309393)","(10, 0.040895298)","(11, 0.009409437)","(12, 0.018671174)","(13, 0.014665499)","(14, 0.01099078)","(15, 0.052105743)","(16, 0.043887369)","(17, 0.023864213)","(18, 0.025872579)","(19, 0.020224817)","(20, 0.03667216)","(21, 0.048131783)","(22, 0.019138757)","(23, 0.027040083)","(24, 0.016737647)","(25, 0.022095136)","(26, 0.036533207)","(27, 0.0074164076)","(28, 0.032206438)","(29, 0.032155205)","(30, 0.025096897)","(31, 0.017858222)","(32, 0.022251539)","(33, 0.033624753)","(34, 0.0085985009)","(35, 0.015676253)","(36, 0.003021552)","(37, 0.0045747007)","(38, 0.0088563208)","(39, 0.010942522)","(40, 0.02740887)","(41, 0.075863168)"
9,"(0, 0.011723006)","(1, 0.0087210955)","(2, 0.022371359)","(3, 0.010726804)","(4, 0.0071628443)","(5, 0.0052056797)","(6, 0.015950177)","(7, 0.004426233)","(8, 0.051178429)","(9, 0.0026260375)","(10, 0.00947823)","(11, 0.0078518288)","(12, 0.020155322)","(13, 0.0048350422)","(14, 0.011281286)","(15, 0.03681343)","(16, 0.028546758)","(17, 0.014434823)","(18, 0.02442497)","(19, 0.0084378691)","(20, 0.015404751)","(21, 0.025510278)","(22, 0.040172517)","(23, 0.024531458)","(24, 0.0055782641)","(25, 0.012731222)","(26, 0.014719939)","(27, 0.0043667415)","(28, 0.017003011)","(29, 0.019344933)","(30, 0.022675047)","(31, 0.017252341)","(32, 0.022884741)","(33, 0.020969464)","(34, 0.0045214333)","(35, 0.53909326)","(36, 0.49874184)","(37, 0.36529744)","(38, 0.59098518)","(39, 0.010459878)","(40, 0.01710191)","(41, 0.049930654)"
40,"(0, 0.011722567)","(1, 0.0087547479)","(2, 0.022368921)","(3, 0.010726139)","(4, 0.0071670003)","(5, 0.0052050669)","(6, 0.015952369)","(7, 0.0044257129)","(8, 0.051172711)","(9, 0.0026258864)","(10, 0.0094774403)","(11, 0.0078510875)","(12, 0.02015328)","(13, 0.0048347898)","(14, 0.011279957)","(15, 0.036809091)","(16, 0.028543398)","(17, 0.014433778)","(18, 0.024422964)","(19, 0.0084379986)","(20, 0.015414)","(21, 0.025507275)","(22, 0.040167961)","(23, 0.02452899)","(24, 0.0055778725)","(25, 0.012729723)","(26, 0.014718263)","(27, 0.0043662684)","(28, 0.017001012)","(29, 0.019342991)","(30, 0.022676712)","(31, 0.017251596)","(32, 0.022882786)","(33, 0.02096723)","(34, 0.0045213965)","(35, 0.53903002)","(36, 0.49868301)","(37, 0.36525431)","(38, 0.59091544)","(39, 0.010458643)","(40, 0.017100029)","(41, 0.049924865)"
17,"(0, 0.014620737)","(1, 0.0064514447)","(2, 0.010684288)","(3, 0.014209706)","(4, 0.0060616527)","(5, 0.0016170412)","(6, 0.015795516)","(7, 0.0085501093)","(8, 0.0088643339)","(9, 0.0055069099)","(10, 0.010642421)","(11, 0.0063067037)","(12, 0.009290684)","(13, 0.0091592036)","(14, 0.0065184277)","(15, 0.019500084)","(16, 0.021491244)","(17, 0.028089236)","(18, 0.014739826)","(19, 0.013340871)","(20, 0.03074603)","(21, 0.024725031)","(22, 0.01673137)","(23, 0.016829344)","(24, 0.0089670997)","(25, 0.015879866)","(26, 0.030088674)","(27, 0.010370607)","(28, 0.022493858)","(29, 0.019550383)","(30, 0.020149361)","(31, 0.0098907873)","(32, 0.028815713)","(33, 0.035869263)","(34, 0.0096091842)","(35, 0.0025273841)","(36, 0.0037583576)","(37, 0.009934566)","(38, 0.010981089)","(39, 0.0087113911)","(40, 0.016102748)","(41, 0.037622664)"
29,"(0, 0.051675905)","(1, 0.0067708632)","(2, 0.015790302)","(3, 0.015299017)","(4, 0.010605326)","(5, 0.0064219912)","(6, 0.012009155)","(7, 0.088003345)","(8, 0.0092501668)","(9, 0.0057951501)","(10, 0.012192535)","(11, 0.014095677)","(12, 0.034204077)","(13, 0.0094464701)","(14, 0.0097381715)","(15, 0.063316934)","(16, 0.037947509)","(17, 0.029300213)","(18, 0.024366915)","(19, 0.012015167)","(20, 0.018273197)","(21, 0.029644558)","(22, 0.020824008)","(23, 0.038090266)","(24, 0.015347859)","(25, 0.010467935)","(26, 0.011381568)","(27, 0.0081038112)","(28, 0.03063965)","(29, 0.027817501)","(30, 0.021213273)","(31, 0.015712498)","(32, 0.019879458)","(33, 0.036460917)","(34, 0.0085473498)","(35, 0.009043471)","(36, 0.0026397705)","(37, 0.0097119939)","(38, 0.0087268567)","(39, 0.011929868)","(40, 0.070470862)","(41, 0.03544521)"
38,"(0, 0.008944652)","(1, 0.35015583)","(2, 0.036668211)","(3, 0.010997308)","(4, 0.0067882668)","(5, 0.0026281988)","(6, 0.010801488)","(7, 0.013776517)","(8, 0.013416754)","(9, 0.021879937)","(10, 0.0056697484)","(11, 0.39674407)","(12, 0.016623305)","(13, 0.013780903)","(14, 0.010857949)","(15, 0.046192367)","(16, 0.025731508)","(17, 0.019350942)","(18, 0.016372722)","(19, 0.013950324)","(20, 0.020512819)","(21, 0.018895807)","(22, 0.011836732)","(23, 0.012739641)","(24, 0.0063249152)","(25, 0.019445334)","(26, 0.01214439)","(27, 0.0038114572)","(28, 0.021661518)","(29, 0.013300248)","(30, 0.013343338)","(31, 0.0087155206)","(32, 0.16653179)","(33, 0.028880095)","(34, 0.14280507)","(35, 0.0031512822)","(36, 0.0017677136)","(37, 0.010658849)","(38, 0.0071359058)","(39, 0.011434546)","(40, 0.21560225)","(41, 0.035354361)"
14,"(0, 0.058519922)","(1, 0.0082242182)","(2, 0.013093545)","(3, 0.018828014)","(4, 0.0094452333)","(5, 0.0059724329)","(6, 0.018591315)","(7, 0.065579891)","(8, 0.014637615)","(9, 0.0036279825)","(10, 0.01910992)","(11, 0.0063678594)","(12, 0.011588228)","(13, 0.0062802238)","(14, 0.018904064)","(15, 0.071912155)","(16, 0.038128659)","(17, 0.021556219)","(18, 0.022532964)","(19, 0.015491194)","(20, 0.034602024)","(21, 0.036272239)","(22, 0.12573554)","(23, 0.030151784)","(24, 0.034876697)","(25, 0.017344156)","(26, 0.019443829)","(27, 0.0063493722)","(28, 0.032161761)","(29, 0.030313762)","(30, 0.015996438)","(31, 0.024230991)","(32, 0.019434277)","(33, 0.026178949)","(34, 0.0080810208)","(35, 0.0038078015)","(36, 0.0032305778)","(37, 0.0048391693)","(38, 0.0073908875)","(39, 0.0076977508)","(40, 0.011735819)","(41, 0.034368627)"
18,"(0, 0.0022129049)","(1, 0.0017090315)","(2, 0.001353176)","(3, 0.0020691061)","(4, 0.0028208615)","(5, 0.0003868317)","(6, 0.042613339)","(7, 0.0098462012)","(8, 0.001117786)","(9, 0.0010392691)","(10, 0.0041033411)","(11, 0.001860711)","(12, 0.085201301)","(13, 0.0029945378)","(14, 0.00545611)","(15, 0.0065776561)","(16, 0.0041238014)","(17, 0.0035194429)","(18, 0.0022502313)","(19, 0.0036108494)","(20, 0.0020805164)","(21, 0.0036223412)","(22, 0.0067098588)","(23, 0.0047603333)","(24, 0.001961475)","(25, 0.0006223931)","(26, 0.00098110945)","(27, 0.0021509654)","(28, 0.027314376)","(29, 0.0018835106)","(30, 0.048562437)","(31, 0.011704129)","(32, 0.0079689473)","(33, 0.0059944764)","(34, 0.0011542857)","(35, 0.0019449221)","(36, 0.00062933436)","(37, 0.0002855362)","(38, 0.0023192985)","(39, 0.0016825362)","(40, 0.0024751299)","(41, 0.028979031)"
8,"(0, 0.013063301)","(1, 0.0052690362)","(2, 0.0068716994)","(3, 0.022387128)","(4, 0.016217964)","(5, 0.0016825804)","(6, 0.012561252)","(7, 0.010193514)","(8, 0.014596704)","(9, 0.048600771)","(10, 0.013185398)","(11, 0.0053277179)","(12, 0.0090435697)","(13, 0.0049651032)","(14, 0.028269509)","(15, 0.0277659)","(16, 0.05066115)","(17, 0.01518576)","(18, 0.023173437)","(19, 0.019116566)","(20, 0.046591997)","(21, 0.041915085)","(22, 0.020823695)","(23, 0.017753927)","(24, 0.0097848298)","(25, 0.051943529)","(26, 0.011768471)","(27, 0.0042744055)","(28, 0.019323479)","(29, 0.021003116)","(30, 0.011238784)","(31, 0.0074470416)","(32, 0.022638209)","(33, 0.020486247)","(34, 0.010123131)","(35, 0.0020410586)","(36, 0.0017889466)","(37, 0.010431621)","(38, 0.0031134118)","(39, 0.0088198371)","(40, 0.009182239)","(41, 0.027298555)"
20,"(0, 0.0025298977)","(1, 0.0024749478)","(2, 0.0049648699)","(3, 0.015227464)","(4, 0.0047166687)","(5, 0.00056726299)","(6, 0.0064758924)","(7, 0.0039765779)","(8, 0.0020219909)","(9, 0.00085072842)","(10, 0.005445932)","(11, 0.02364051)","(12, 0.011681166)","(13, 0.016807662)","(14, 0.0032553375)","(15, 0.16138709)","(16, 0.022234561)","(17, 0.012909559)","(18, 0.065047249)","(19, 0.0048509301)","(20, 0.0056868466)","(21, 0.015533975)","(22, 0.022213025)","(23, 0.083214186)","(24, 0.014830471)","(25, 0.0030326005)","(26, 0.0084259473)","(27, 0.0015043003)","(28, 0.0060264915)","(29, 0.0087596849)","(30, 0.046934888)","(31, 0.019201733)","(32, 0.039954524)","(33, 0.018618755)","(34, 0.0049393061)","(35, 0.0011581311)","(36, 0.0042457534)","(37, 0.017673677)","(38, 0.002889263)","(39, 0.0065562367)","(40, 0.0031913728)","(41, 0.024835724)"
10,"(0, 0.0098855775)","(1, 0.006209868)","(2, 0.0055174129)","(3, 0.0095899943)","(4, 0.0083995853)","(5, 0.0036640284)","(6, 0.028177779)","(7, 0.013614842)","(8, 0.012115772)","(9, 0.0039489376)","(10, 0.14122242)","(11, 0.0047857203)","(12, 0.014971933)","(13, 0.0045026764)","(14, 0.052123357)","(15, 0.065568388)","(16, 0.02953488)","(17, 0.0095207617)","(18, 0.026375394)","(19, 0.025878813)","(20, 0.011731884)","(21, 0.023182306)","(22, 0.012531702)","(23, 0.019570358)","(24, 0.010608277)","(25, 0.0066482611)","(26, 0.020994652)","(27, 0.005823358)","(28, 0.025347337)","(29, 0.030994931)","(30, 0.013799664)","(31, 0.0085776318)","(32, 0.0083593214)","(33, 0.01621943)","(34, 0.0037845615)","(35, 0.0043690666)","(36, 0.002665746)","(37, 0.0043574213)","(38, 0.0050798957)","(39, 0.0059892051)","(40, 0.0079454407)","(41, 0.024094004)"
28,"(0, 0.012705186)","(1, 0.0081368675)","(2, 0.014767979)","(3, 0.018847819)","(4, 0.011106317)","(5, 0.0025063204)","(6, 0.010568617)","(7, 0.012336952)","(8, 0.0074829366)","(9, 0.0078055244)","(10, 0.014489495)","(11, 0.0065438054)","(12, 0.027617285)","(13, 0.030248502)","(14, 0.02087529)","(15, 0.01689247)","(16, 0.037219502)","(17, 0.023776053)","(18, 0.037179053)","(19, 0.009796083)","(20, 0.028262172)","(21, 0.030966215)","(22, 0.020948732)","(23, 0.018078601)","(24, 0.0089203278)","(25, 0.013752062)","(26, 0.037013035)","(27, 0.0071344366)","(28, 0.014068641)","(29, 0.029969603)","(30, 0.028762411)","(31, 0.013624299)","(32, 0.012987419)","(33, 0.02114897)","(34, 0.022691706)","(35, 0.0040172972)","(36, 0.0021408596)","(37, 0.004237771)","(38, 0.0039717476)","(39, 0.0065999511)","(40, 0.015157606)","(41, 0.024074808)"
24,"(0, 0.017242745)","(1, 0.013556566)","(2, 0.0078768209)","(3, 0.017820206)","(4, 0.0099174269)","(5, 0.008953521)","(6, 0.013907006)","(7, 0.0080236271)","(8, 0.010752611)","(9, 0.0058213649)","(10, 0.17597789)","(11, 0.013980971)","(12, 0.050722331)","(13, 0.014535058)","(14, 0.010716841)","(15, 0.065143391)","(16, 0.048193291)","(17, 0.03669066)","(18, 0.042556167)","(19, 0.012526681)","(20, 0.027355393)","(21, 0.025349166)","(22, 0.015576587)","(23, 0.036165681)","(24, 0.0086000925)","(25, 0.083378762)","(26, 0.017342322)","(27, 0.0059881713)","(28, 0.064261183)","(29, 0.038911089)","(30, 0.044264756)","(31, 0.037686102)","(32, 0.053399667)","(33, 0.063494548)","(34, 0.013941778)","(35, 0.0053870943)","(36, 0.0082632173)","(37, 0.0073571783)","(38, 0.0051975939)","(39, 0.0079426263)","(40, 0.030124757)","(41, 0.022299998)"
27,"(0, 0.01274934)","(1, 0.0096032685)","(2, 0.018774748)","(3, 0.018658997)","(4, 0.011149615)","(5, 0.0045157447)","(6, 0.012464568)","(7, 0.0070621753)","(8, 0.011285166)","(9, 0.0071436088)","(10, 0.012957554)","(11, 0.01587205)","(12, 0.012232938)","(13, 0.0098670591)","(14, 0.016966783)","(15, 0.032514874)","(16, 0.067944407)","(17, 0.023583375)","(18, 0.016150497)","(19, 0.016297622)","(20, 0.022106791)","(21, 0.038266987)","(22, 0.015762528)","(23, 0.028370392)","(24, 0.027049251)","(25, 0.0098912185)","(26, 0.021609183)","(27, 0.010355479)","(28, 0.019486291)","(29, 0.030634973)","(30, 0.025726346)","(31, 0.039541222)","(32, 0.023572814)","(33, 0.027581006)","(34, 0.0070893797)","(35, 0.0050007924)","(36, 0.0062776254)","(37, 0.0055432124)","(38, 0.0084861107)","(39, 0.0083805416)","(40, 0.01383955)","(41, 0.021684822)"
12,"(0, 0.014049266)","(1, 0.0066449121)","(2, 0.011443087)","(3, 0.02291869)","(4, 0.0087429881)","(5, 0.0049865693)","(6, 0.018073816)","(7, 0.012931029)","(8, 0.031752422)","(9, 0.0073469486)","(10, 0.019717626)","(11, 0.0077732522)","(12, 0.023222327)","(13, 0.015920382)","(14, 0.012127534)","(15, 0.019115623)","(16, 0.024576109)","(17, 0.017306004)","(18, 0.027049847)","(19, 0.015454888)","(20, 0.02597902)","(21, 0.046008959)","(22, 0.020046137)","(23, 0.020451866)","(24, 0.0097206635)","(25, 0.016842227)","(26, 0.039262488)","(27, 0.0048541026)","(28, 0.037352234)","(29, 0.028018901)","(30, 0.016298477)","(31, 0.0064448183)","(32, 0.027554408)","(33, 0.11395055)","(34, 0.0083432812)","(35, 0.0028701122)","(36, 0.019215684)","(37, 0.0023789736)","(38, 0.0068210727)","(39, 0.0071634506)","(40, 0.014163258)","(41, 0.021671489)"
61,"(0, 0.016525745)","(1, 0.0054002171)","(2, 0.010964996)","(3, 0.018814577)","(4, 0.0099277217)","(5, 0.0014142616)","(6, 0.0083607659)","(7, 0.010098092)","(8, 0.049591601)","(9, 0.0038088295)","(10, 0.0089088026)","(11, 0.0075636264)","(12, 0.014825796)","(13, 0.0083886422)","(14, 0.0058714617)","(15, 0.02934486)","(16, 0.021442372)","(17, 0.023579624)","(18, 0.023339132)","(19, 0.01119308)","(20, 0.013309997)","(21, 0.26111689)","(22, 0.015444113)","(23, 0.020780168)","(24, 0.0097523611)","(25, 0.0073423684)","(26, 0.018748548)","(27, 0.0051819766)","(28, 0.011731583)","(29, 0.046982214)","(30, 0.019721108)","(31, 0.008345468)","(32, 0.0068469448)","(33, 0.02670758)","(34, 0.0082773715)","(35, 0.0020921768)","(36, 0.001447135)","(37, 0.0075259083)","(38, 0.0050053382)","(39, 0.0068253633)","(40, 0.025035698)","(41, 0.01886604)"
55,"(0, 0.015111233)","(1, 0.36178499)","(2, 0.010531065)","(3, 0.020612307)","(4, 0.008766762)","(5, 0.0024304157)","(6, 0.016064368)","(7, 0.039769083)","(8, 0.0060114102)","(9, 0.0047801696)","(10, 0.010726273)","(11, 0.41749716)","(12, 0.01679475)","(13, 0.014127086)","(14, 0.010913817)","(15, 0.047792442)","(16, 0.021575749)","(17, 0.029939614)","(18, 0.023399092)","(19, 0.028517179)","(20, 0.015246926)","(21, 0.072341934)","(22, 0.020018207)","(23, 0.021367807)","(24, 0.011941763)","(25, 0.011994945)","(26, 0.018073641)","(27, 0.005158898)","(28, 0.024815621)","(29, 0.021087792)","(30, 0.020426333)","(31, 0.010641513)","(32, 0.17595215)","(33, 0.022454109)","(34, 0.14553788)","(35, 0.0046120845)","(36, 0.0092058778)","(37, 0.0050213267)","(38, 0.021727582)","(39, 0.0091286264)","(40, 0.15793069)","(41, 0.01860684)"
44,"(0, 0.013642912)","(1, 0.0037441845)","(2, 0.01023904)","(3, 0.011965203)","(4, 0.0078575835)","(5, 0.0019083614)","(6, 0.0099347122)","(7, 0.0064968239)","(8, 0.0073921583)","(9, 0.0022265692)","(10, 0.0066033788)","(11, 0.0051760622)","(12, 0.006422299)","(13, 0.0034979759)","(14, 0.0047969595)","(15, 0.013485583)","(16, 0.020635284)","(17, 0.0073673092)","(18, 0.01129522)","(19, 0.0082239918)","(20, 0.012284724)","(21, 0.016435951)","(22, 0.010174189)","(23, 0.020228287)","(24, 0.0083424011)","(25, 0.021577634)","(26, 0.015862679)","(27, 0.0037739726)","(28, 0.030296449)","(29, 0.031572223)","(30, 0.054724187)","(31, 0.033224687)","(32, 0.067137823)","(33, 0.033198938)","(34, 0.0039858618)","(35, 0.001185288)","(36, 0.0016035901)","(37, 0.0021957671)","(38, 0.0023093657)","(39, 0.004526753)","(40, 0.014520495)","(41, 0.01781074)"
15,"(0, 0.055604253)","(1, 0.0090784794)","(2, 0.0089453608)","(3, 0.01336774)","(4, 0.0073315082)","(5, 0.0045768642)","(6, 0.027579945)","(7, 0.016796678)","(8, 0.0085299611)","(9, 0.0051164674)","(10, 0.046259992)","(11, 0.011123903)","(12, 0.037155431)","(13, 0.0059391391)","(14, 0.010437647)","(15, 0.050692443)","(16, 0.043268401)","(17, 0.02330577)","(18, 0.025199525)","(19, 0.011988165)","(20, 0.028718796)","(21, 0.042636197)","(22, 0.068332821)","(23, 0.029238319)","(24, 0.019936435)","(25, 0.02027778)","(26, 0.023059983)","(27, 0.006181933)","(28, 0.041177798)","(29, 0.075967163)","(30, 0.024353396)","(31, 0.013357439)","(32, 0.024372643)","(33, 0.035473995)","(34, 0.0077343434)","(35, 0.0088842139)","(36, 0.0051627215)","(37, 0.0081023807)","(38, 0.013832295)","(39, 0.014225965)","(40, 0.010807574)","(41, 0.017532123)"
